,listed_in(type),rest_type,total address,book_table,online_order,rate,approx_cost(for two people)
0,Buffet,Casual Dining,"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",Yes,Yes,4.1/5,800
1,Buffet,Casual Dining,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.1/5,800
2,Buffet,"Cafe, Casual Dining","1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.8/5,800
3,Buffet,Quick Bites,"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,3.7/5,300
4,Buffet,Casual Dining,"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,No,3.8/5,600
5,Buffet,Casual Dining,"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,3.8/5,600
7,Cafes,"Casual Dining, Cafe","2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",Yes,Yes,4.6/5,600
8,Cafes,Cafe,"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.0/5,700
9,Cafes,Cafe,"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.2/5,550
10,Cafes,Cafe,"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.1/5,500
11,Cafes,Cafe,"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari, Banashankari, Banashankari",Yes,Yes,4.2/5,600
12,Cafes,Cafe,"6th Block, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",Yes,Yes,4.2/5,500
13,Cafes,Cafe,"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore, Banashankari, Banashankari",No,No,4.0/5,450
14,Cafes,"Cafe, Casual Dining","1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.8/5,800
15,Cafes,Cafe,"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.8/5,650
16,Cafes,Cafe,"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,800
17,Cafes,Cafe,"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.8/5,700
18,Cafes,Cafe,"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,3.9/5,300
20,Cafes,Cafe,"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.0/5,400
21,Cafes,Cafe,"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.7/5,500
23,Cafes,"Quick Bites, Cafe","224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.6/5,600
29,Cafes,"Casual Dining, Cafe","112, Bull Temple Road,next to more Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,No,3.8/5,550
30,Cafes,Cafe,"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,4.0/5,600
31,Delivery,Quick Bites,"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,2.8/5,500
33,Delivery,Delivery,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,750
34,Delivery,Quick Bites,"80, BDA Complex, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.2/5,500
35,Delivery,Delivery,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,650
37,Delivery,Casual Dining,"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.2/5,600
38,Delivery,Casual Dining,"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.4/5,750
40,Delivery,Quick Bites,"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,3.8/5,200
42,Delivery,Quick Bites,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,500
43,Delivery,Quick Bites,"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,800
44,Delivery,"Casual Dining, Cafe","2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",Yes,Yes,4.6/5,600
45,Delivery,Delivery,"2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,3.8/5,400
46,Delivery,Quick Bites,"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,3.6/5,300
47,Delivery,Casual Dining,"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,4.0/5,450
48,Delivery,Casual Dining,"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore, Rajarajeshwari Nagar, Banashankari",No,Yes,3.7/5,850
49,Delivery,Quick Bites,"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",No,Yes,3.1/5,300
52,Delivery,Dessert Parlor,"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,4.3/5,400
53,Delivery,Casual Dining,"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.0/5,750
54,Delivery,Quick Bites,"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,4.0/5,450
55,Delivery,Delivery,"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,3.9/5,450
57,Delivery,Casual Dining,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore, Banashankari, Banashankari",Yes,Yes,4.2/5,800
60,Delivery,Casual Dining,"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,4.2/5,800
61,Delivery,Casual Dining,"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Banashankari",Yes,Yes,3.6/5,800
63,Delivery,Casual Dining,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore, Banashankari, Banashankari",Yes,No,4.0/5,850
65,Delivery,Quick Bites,"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,4.1/5,400
67,Delivery,Pub,"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,4.1/5,"1,200"
71,Delivery,Quick Bites,"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,4.1/5,300
74,Delivery,Quick Bites,"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,3.6/5,300
76,Delivery,Quick Bites,"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,4.1/5,150
79,Delivery,Quick Bites,"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,3.8/5,350
81,Delivery,Beverage Shop,"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.2/5,400
86,Delivery,Casual Dining,"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore, Jayanagar, Banashankari",No,Yes,4.4/5,600
94,Delivery,Casual Dining,"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,, Banashankari, Banashankari",No,No,2.6/5,600
95,Delivery,Bar,"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,3.3/5,800
98,Delivery,Quick Bites,"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,3.7/5,300
99,Delivery,Dessert Parlor,"96, Opposite Jain Collage, Basavanagudi, Bangalore, Basavanagudi, Banashankari",No,Yes,3.8/5,400
100,Delivery,Quick Bites,"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore, Banashankari, Banashankari",No,No,3.5/5,300
101,Delivery,Quick Bites,"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,No,3.7/5,200
103,Delivery,"Takeaway, Delivery","415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore, Banashankari, Banashankari",No,No,3.8 /5,400
120,Delivery,Quick Bites,"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.1/5,300
145,Delivery,Casual Dining,"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore, Banashankari, Banashankari",No,Yes,4.0/5,450
